session,t_ros,topic,linear_x,angular_z
210339_wrong_localization,1786795420.969368219,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795420.984598875,/cmd_vel_gated,0.000000,0.000000
210339_wrong_localization,1786795420.989332438,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795421.009675980,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795421.029525280,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795421.043557167,/cmd_vel_raw,0.000000,0.000000
210339_wrong_localization,1786795421.049477577,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795421.051250219,/cmd_vel_gated,0.000000,0.000000
210339_wrong_localization,1786795421.069331169,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795421.089361906,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795421.109359741,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795421.117908239,/cmd_vel_gated,0.000000,0.000000
210339_wrong_localization,1786795421.129521370,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795421.143538475,/cmd_vel_raw,0.000000,0.000000
210339_wrong_localization,1786795421.149415731,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795421.169357538,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795421.184620857,/cmd_vel_gated,0.000000,0.000000
210339_wrong_localization,1786795421.189350367,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795421.209338903,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795421.229562759,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795421.243498564,/cmd_vel_raw,0.000000,0.000000
210339_wrong_localization,1786795421.249415398,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795421.251274109,/cmd_vel_gated,0.000000,0.000000
210339_wrong_localization,1786795421.269346237,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795421.289380074,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795421.309382677,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795421.317977190,/cmd_vel_gated,0.000000,0.000000
210339_wrong_localization,1786795421.329531193,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795421.343511343,/cmd_vel_raw,0.000000,0.000000
210339_wrong_localization,1786795421.349496126,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795421.369358301,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795421.384627342,/cmd_vel_gated,0.000000,0.000000
210339_wrong_localization,1786795421.389358997,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795421.409341812,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795421.429429770,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795421.443606138,/cmd_vel_raw,0.000000,0.000000
210339_wrong_localization,1786795421.449474573,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795421.451238155,/cmd_vel_gated,0.000000,0.000000
210339_wrong_localization,1786795421.469504595,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795421.489343405,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795421.509372711,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795421.517904520,/cmd_vel_gated,0.000000,0.000000
210339_wrong_localization,1786795421.529630661,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795421.543524504,/cmd_vel_raw,0.000000,0.000000
210339_wrong_localization,1786795421.549462318,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795421.569461584,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795421.584604263,/cmd_vel_gated,0.000000,0.000000
210339_wrong_localization,1786795421.589376450,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795421.609339237,/cmd_vel,0.000000,0.000000
