session,t_ros,state,level,reason,fitness,inlier_ratio,prediction_translation_m,prediction_rotation_rad,consistent_candidate_count,registration_backend,reset_count,map_id
210339_wrong_localization,1786795492.838439226,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795493.838270187,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795494.837466717,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795495.839628458,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795496.940257311,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795498.039056301,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795499.039239883,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795500.042761564,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795501.137383699,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795502.237973928,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795503.237392426,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795504.238404274,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795505.339918137,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795506.439484596,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795507.438205004,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795508.538616180,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795509.539438009,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795510.643487930,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795511.741899252,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795512.835210085,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795513.837856293,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795514.938663244,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795516.040669203,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795517.138394833,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795518.238688707,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795519.238862991,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795520.339336872,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795521.339102983,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795522.441244125,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795523.440024853,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795524.438893080,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795525.439578772,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
210339_wrong_localization,1786795526.539498329,TRACKING,0,STATIONARY_CORRECTION_SUPPRESSED,1000000000.000000,0.000000,0.000000,0.000000,0,pcl_gicp,1,merged_0707_0725_v1
